,dmdtda
5398,-0.1181
4057,-0.192
5239,-0.1649
561,-0.4708
4988,-0.884
2520,-0.8586
2486,-0.9826
5336,-0.9356
5300,-0.4261
3586,-0.512
2456,-0.4452999999999999
188,-0.9377
648,-0.7111
421,-0.0299
3953,-0.7384
2897,-0.2344
2823,-0.6406
4058,-0.506
2383,-0.2233
6726,0.1502
3647,0.3694
1456,-1.1281
6467,-0.4669999999999999
813,-0.1732
3265,-0.3959
3693,0.0422
1878,-0.4770999999999999
5386,-2.1231
1243,-0.2657
5096,-0.8013
5966,-0.587
6289,-0.3319
1059,-0.1308
5585,-0.6538
5065,-0.1197999999999999
2466,-0.4469
2885,0.2093999999999999
158,-0.598
1934,-0.5248
84,-0.7083
14,-0.2347
1893,-0.6928
3146,-0.1878
1265,-0.0469
4238,0.2463
4951,-0.3058
1049,-0.9064
553,0.1135
2824,-0.007
1685,-0.0656
5971,-0.448
1362,0.3065
1632,-0.5038
4273,-0.4149
4145,-0.4919
4252,-0.5473
1324,-0.161
5674,-0.5338
2616,-1.3222
6317,-0.4770999999999999
2040,-0.6241
5399,0.359
302,-0.0213
4891,-0.5082
2726,-0.4587719762258563
904,-0.603
1078,-1.1796
5129,-0.3562499554234775
3629,-0.1535
6169,-0.9457
2822,-0.491
6724,-0.2617
2346,-0.3319
5690,-0.8446
2167,-0.383
2648,0.1342
4719,0.158
6204,-0.429
2436,-0.5191
1923,-0.6389
3021,0.1455
3956,-0.5581
5964,-0.559
290,-1.077
1570,-0.5841
4175,-0.0276
406,-0.2368999999999999
539,-0.3221
3765,0.0666
5409,-0.1132
5456,-1.1221
1378,-0.4892
2904,-0.5472
4418,-0.1226
337,-0.1646
6370,-0.625
4605,-0.5336
246,-0.9588
2664,0.0286
5219,-0.5556
5468,-0.3465
5332,-0.65
1200,-0.6286
895,-0.4431
5142,-0.3108
6393,-0.9559999999999998
547,-0.3236
1621,-0.5607
567,0.1495
5842,-1.0182
3510,0.0692
4049,-0.3707
499,0.1119
4621,-0.3229
4762,-0.6358
3836,-0.5001
1255,0.1602
1974,0.4358000000000001
4930,-0.0444
3725,-0.1428
152,-0.4511
6589,-0.0942
3536,-0.7319
2759,-0.2497999999999999
4750,-0.1998
5220,-0.1782
3116,0.3465
3552,-1.059
1676,0.0902
4292,-0.2294
4515,-0.4559
5714,-0.9846
2137,-0.4105999999999999
178,-0.8295999999999999
3477,-0.2656
4111,-0.736
1971,-0.8164999999999999
5768,-0.515
3414,-0.5476
357,-0.0281
1611,-0.5782
790,-0.7311
2239,-0.4732
1954,0.1797
5253,0.3796
1052,-0.5914
5427,-0.9017
1209,-0.6787
1943,-0.6742
6178,-0.4198
5928,-0.7966
6303,-0.4847
2127,-0.7466
494,-0.9126
5702,-0.5726
626,-0.6114
4854,-0.6505
3271,-0.4328
3760,-0.074
5329,-0.3562499554234775
6199,-0.3582
404,-0.5748
3109,-0.7213
3545,-0.7268
3270,-0.1876
3685,-1.0381
5669,-0.6947
2660,-0.2473
5251,-0.1811
3384,-0.2619
4808,0.3696
5646,-0.5234
1188,-0.9572
493,-0.1196
4172,-0.3025
2262,-0.7064
5185,-0.2962
668,-0.2858
2147,-0.181
296,-0.8435
5864,-0.3995
3870,-0.4232
6180,-0.6219
5214,-0.6654
2696,-0.9653
2244,-0.5934
2926,-0.135
3240,-0.356
1254,-0.1259
2409,-0.6064
5241,-0.1253
142,-0.5705
4327,-0.0515
1665,-0.0378
1390,-0.3858
5429,0.0728
4000,-0.5002
