,dmdtda
5803,-0.3562499554234775
771,-0.8758000000000001
6141,-0.4909
952,-1.0547
5680,-0.4022
1101,-0.9356
5823,0.0819
1047,-0.3331
4551,-0.0384
5510,-0.5751
2080,-0.4019
6190,-0.2789
1821,-0.2246999999999999
6822,-0.6655
262,-0.5392
6429,-0.0476
4924,-0.3436
6106,-0.8932
5048,-0.2893
1241,-0.5986
5397,-0.646
2733,-0.6106
1476,-0.8522000000000001
1057,-1.5575
6496,0.0258
6726,0.1502
5351,0.0824
754,-0.5373
2006,-0.4997
2353,-0.1423
4789,0.4227
5273,-0.9822
1800,-0.2175999999999999
3133,-0.6833
4055,-0.1284
6695,0.0178
554,-0.3256
5153,-0.6195
6091,-0.58
5472,-0.8763
4075,-0.6202
4375,-0.2419
5723,-0.0516
898,-0.8388
4409,-0.3091
3714,-0.6428
2077,-0.298
1553,-0.3562499554234775
2098,-0.4587719762258563
3328,0.1282
2726,-0.4587719762258563
4079,-0.0498
838,-0.1105
2229,-0.1115
1842,-0.4976999999999999
6005,-0.613
2315,-0.4479
5919,-0.7566
299,-0.6217
2936,0.4088
6807,-0.0242
6159,0.0697
1400,-0.6138
3886,-0.4032999999999999
1322,-0.3687
3094,0.2185
3756,-0.5519
960,-0.2044
4429,-0.8882999999999999
287,-1.1299
2565,-0.4953
240,-0.8844
175,-0.6531
1366,-0.2871
3429,0.0452
6255,-0.4444
4548,-0.0188
6226,-0.5128
4530,0.1882
1533,-0.4471
6642,-0.653
6147,-0.5372
6163,0.1524
3582,-0.0659
5429,0.0728
4207,-0.3257
4045,-0.4204
5378,-0.5974
6821,0.3164
2221,-0.3404
1897,-0.3562499554234775
563,0.1082
1378,-0.4892
3788,-0.7226
5239,-0.1649
1436,0.3147
1571,-0.2455
2637,-0.1717
5746,-0.9305
4484,-0.7664
168,-0.7062
3284,-0.3323
3740,-0.2204
556,-0.8741
1098,-0.5436
4775,-0.0602
4212,-0.9147
6797,-0.042
6134,-0.1146
4051,-0.1481
2835,-1.1332
1852,0.152
5125,-0.7352
840,-0.7637
2003,-0.4748
3558,-0.7037
2771,0.1648
2501,-0.4804
4560,-0.1202
5558,-0.7854
1798,-0.9384
5338,-0.1904
2086,-0.4345
5700,-0.4638
2270,-1.3506
1566,-0.6429
2829,-0.1149
1415,-0.676
3842,-0.1735
5733,-0.7097
1080,-0.8288
4431,-0.1116
5715,-0.7902
1214,-0.7744
3317,-0.6938
1593,-0.1407
2589,0.096
594,-1.0877
160,-0.6853
1519,-0.2111
6568,-0.6251
4139,-0.6383
5037,0.044
6325,-0.2199
5678,-0.4657
2008,-0.0628
5845,0.0226
5945,-0.4164
5876,-0.3757
4165,-0.1423
1807,-0.6767
4252,-0.5473
4836,-0.3088
36,-1.0252
5565,-0.6348
2696,-0.9653
2210,-0.7192
3718,0.1392
4230,0.3068
6227,-0.4269
3978,-0.6327
3525,-0.2141
595,-0.9759
2036,-0.3933
381,-0.6459
4147,-0.6814
1194,-0.6426
5965,-0.5779
1222,0.1313
3659,-0.9661
3557,-0.6131
4219,0.2577
2578,-0.2731
1858,-0.6067
2404,-0.6757
5157,-1.3729
2707,0.3842
2014,-0.0692
1464,-0.3578
2533,-0.0497
5841,-0.4214
3508,-0.4153
2456,-0.4452999999999999
1843,0.392
6474,-1.6252
412,-0.6374
413,-0.3935
1687,-0.2958
5861,-1.0933
5526,-0.5375
377,-0.4854999999999999
2072,-0.0064
665,-1.0006
3475,-0.5651
1219,-0.949
798,-0.2651
1380,-0.0298
3159,-0.043
613,-0.3426
578,-0.7362
2862,-0.2877
54,-0.5775
1730,-0.7939
2788,0.0573999999999999
6337,-0.5253
480,-0.5466
5782,-0.4526
3120,0.7893
1437,0.0227
3482,-0.4726
6002,-1.0569
3996,-0.1869
6244,-0.2105999999999999
3621,-0.3245
2237,0.3687
4757,-0.3616
5461,-0.0797
6735,-1.1117
2630,-0.202
5474,-0.7615
3268,-0.0819
1305,0.5537
6673,0.0616
977,-0.3376
732,-0.3602
3468,-0.5339
1775,-0.3844
4616,-1.1034
286,-0.3871
2670,-0.9394
4419,-0.2718
4290,-0.1521
6756,0.1324
2826,-0.2213
3947,-0.2324
2440,-0.7555
995,-0.4726
5319,0.0482
1118,-0.4241
3006,-0.0596
2544,-0.5457
4677,-0.4119
3404,-0.393
4015,-0.0888
3375,-0.1552
1502,-0.1921
2770,-0.1915
254,-0.9243
6052,-0.2941
1919,-1.0424
5252,-0.2174999999999999
2395,-0.1538
3987,0.02
3296,-0.344
1376,-0.6029
3616,-1.2785
1971,-0.8164999999999999
4818,-0.5977
4646,-0.5467
3109,-0.7213
5137,-0.9898
5688,-0.9896
2131,-0.8613
4577,-0.1559
1634,-0.5676
3715,0.397
6757,-0.2875
4327,-0.0515
2336,-0.4271
6609,0.1149
2159,-0.2395
2728,-0.7318
3624,-0.2644
3084,-0.6257
527,-0.9814
3617,-0.9834
4314,-0.5085
4922,0.1578
1089,-0.8097999999999999
1541,-0.5912
1828,-0.1401
387,-0.1382
6740,-0.8522000000000001
6310,-0.0218
1995,-1.0531
5870,-0.7687
2655,-0.3544
